Unnamed: 0;name;rating;review;reply;useful;urgent
11;Lars;2;I får desværre kun 2 stjerner. Jeg blev rigtig godt modtaget og de var rigtig flinke og hjælpsomme i modtagelsen. Men jeg måtte aflevere min bil 3 gange før en mindre skade var korrekt udbedret og det er ikke godt nok, det er for sjusket og hvor jeg mister tilliden samt alt for meget besvær ved at skulle aflevere sin bil 3 gange. Det er ikke godt nok, men det positive var at der herskede ingen tvivl om fejl og mangler bare skulle udbedre og at det var værkstedet enige i ikke var godt nok. Så positivt værkstedet håndterede det professionelt.;Hej Lars Tak for at du tog dig tid til at skrive anmeldelsen og snakke med mig i dag. 😊 Jeg er glad for du fik en god behandling i Viby, men du har ret i at kvalitetskontrollen skulle være bedre på reparationen af din bil. Jeg vil tage en snak med Viby så vi sikre at vi bliver bedre. Med Venlig Hilsen Niels  ;0;1
12;Timmy;2;Her tre uger efter at have været på værksted og skulle have skiftet en fatning som værkstedet i Ikast ikke havde på lager, har de endnu ikke vendt tilbage som lovet med en leveringstid. Vi har ringet ind og hvor man lovede at følge op. Intet er sket😖😖😖;Hej Timmy. Det er vi meget kede af! Vil I ikke henvende jer til [kontaktperson] på tlf. XXXXXXXX eller [email], så kan vi forsøge at finde en løsning til dig. Håber at høre fra dig. Mvh [virksomhed];1;1
13;jannik;2;betalt 750 kr for fejlfinding der tog 5-10 min. konklusionen var de ikke kunne fortælle mig hvorfor den gule motor lampe lyste eller hvad der var galt med bilen. For at kunne fortælle det skulle de bruge 1 time mere. kørte herefter til lokal værksted der efter 10 min havde taget brændstof filter ud og forklarede st det var stoppet til. puttede nyt i til godt stykke under de 750kr jeg havde betalt skorstengård for stort set ingenting.;Hej Jannik. Vi vil meget gerne drøfte sagen med dig, så vi kan finde en løsning på problemet, og hvordan det er opstået. Du må gerne kontakte [kontaktperson] på tlf. XXXXXXXX eller [email]. Rigtig god dag. Mvh. [virksomhed];1;1
14;Stefan;2;"Har egentlig generelt været glad for Skorstensgaard i Tilst. Jeg har smidt en hel del penge her, for de er generelt flinke.  Men bestilte tid til service 10+ år. Der står tydeligt på hjemmesidens forside, at det koster 899 kr. (ikke ""fra 899 kr.""), men ordren lød på 1300. Efter nogen korrespondance, står der skrevet et sted på siden - bestemt ikke forsiden, at der er energitillæg og at min bil kræver mere olie end de 4 liter der angives. Der står på forsiden, det koster ""899 kr."" for service - så er det altså det det koster! Ved godt 400 kr. ikke er alverden - men bliver simpelthen så tung i hovedet af, at man lige presser lidt ekstra ud af kunderne. Så skriv da bare 1300 kr. på forsiden i stedet, så havde jeg nok gjort det.  Rent principielt kunne der ligeså godt stå et sted på siden, at mens du er til service, så skifter vi også lige gearkassen.";Hej Stefan Tak for din anmeldelse.  Du har ret i, at det er en fejl der ikke står angivet på forsiden, at prisen er med op til 4 liter olie. Det får vi selvfølgelig rettet. Energitillægget er et midlertidigt tillæg vi har indført grundet de voldsomme stigninger der har været, alternativet var at lave generelle prisstigninger.   Det positive er at vi altid sender tilbud eller ordrebekræftelser ud til kunderne så de kender prisen inden bilen kommer på værksted, det er din sikkerhed for at vi ikke laver bilen uden vi er enig om prisen. 😊 Jeg forstår din frustration angående olien så jeg har sendt dig et nyt tilbud jeg håber du vil benytte så du forsat vil være en glad kunde i Tilst.  Jeg vil også takke for at gøre os opmærksom på fejlen på hjemmesiden 😊 Mvh. Niels;0;1
15;Leaseplan;2;Forventede der stod en lånebil. Det gjorde der ikke.;Hej Kenneth  Tak for snakken i tlf.  jeg beklager du forventede en låne bil da du kom, men som vi talte om i tlf  booker vi ikke en lånebil hvis det ikke bliver aftalt under ind bookingen.  jeg har noteret på din konto at du fremad skal have en lånebil, ved værksteds besøg.  :-)  Mvh  [virksomhed]. ;0;0
16;Jørgen;2;Høje reserdelspriser. Jeg synes olieprisen, oliefilter - generelt reservedelspriserne er urimelige høje - de giver godt nok 20%, men på høje listepriser. 3 uger efter værkstedsbesøg, har de ikke fremsendt lovet tilbud udbedring af diverese sliddele.;Hej Jørgen.  Priserne på reservedelene er, som vi har talt om, nu engang som de er, og vi skal jo altid kunne give en 3 årig garanti på alt vi udskifter inkl. servicedele, derudover er vi ofte meget billigere end konkurrerende værksteder.   Ift. det fremsendte tilbud kan jeg se det er sendt flere gange, jeg skal beklage hvis det ikke er nået frem, og sender det selvfølgelig gerne igen.  Mvh. Nikolaj;0;1
17;AKADÉMIA.biz;2;"Er jeg blevet glemt?. Tror jeg er blevet glemt i deres sagsmapper :/ Har ikke hørt fra værkstedet i 1½ uge nu, men ved ikke om det er normalt. Forsøger at sende en mail og se om det giver genlyd. Normal fin behandling, men har oplevet ""slack"" i servicen, den sidste tid. Det kan være at den ekstra indsats i kølvandet på shitstormen har lagt sig?!?";Hej Akademia. Det må vi virkelig undskylde, det skal selvfølgelig ikke tage 1½ uge at svare dig, så der må være sket en fejl. Vil du hive fat i den pågældende afdeling igen, eller kontakte [kontaktperson] på tlf. XXXXXXXX eller [email] ? Håber du får en god dag. Mvh [virksomhed];1;1
18;Anders;2;OK, men lidt ærgerligt. Tingene blev lavet til tiden, men at skulle betale kr. 34,- i gebyr for at betale regningen, ødelægger oplevelsen;Hej Anders Der bliver opkrævet gebyr på nogle udenlandske kreditkort og firmakort, men hvis dit ikke er et sådan kort, er der sket en fejl og så skal du selvfølgelig have pengene tilbage.  Tag fat i Odense afdelingen så skal de nok hjælpe dig. 😊 Mvh. Niels ;0;0
19;Pia;2;Jeg afleverede min bil den 7 november hvor den skulle repareres efter en påkørsel bagfra. Den bliver dog først taget ind og kigget på den 11 november hvor de finder at skadens omfang var større end forventet så jeg kunne først få den 17 november.  En god oplevelse var at jeg kunne skifte lånebilen ud. Efterfølgende havde jeg spørgsmål om reflekser bagpå hvor de ville finde ud af noget med taksatoren og vende tilbage til mig. Jeg har stadig den 1 december stadig ikke hørt noget fra dem.  Deres arbejde på bilen fejler intet.;Hej Pia. Tak for din besked vi er glade for at du vil tage dig tiden til skrive en anmeldelse af dit værkstedbesøg. Vi beklager ventetiden på værkstedet, vi forsøger at lave bilerne så hurtigt som muligt, så du kan få bilen tilbage i en ordentligt kvalitet.  Mvh. [virksomhed];1;1
20;kunde;2;Var skuffet denne gang, måtte undvære bilen 2 dage længere end forventet, og den måtte 2 gange til syn. Desuden virkelig slidt lånebil, som jeg ikke var så tryg ved at køre i. Det positive var at jeg ikke havde ekstra udgifter pga. ovenstående.;Tak for samtalen i går, så vi lige kunne få vendt sagen.  Grunden til du skulle undvære din bil lidt ekstra denne gang, var fordi vi havde vurderet noget til ikke at være nødvendigt at reparere endnu, men dette var synsmanden ikke enig i, og vi måtte jo derfor udbedre dette næste dag, da det ikke kunne klares på samme dag.  Jeg beklager mine lånebiler ikke helt nye mere alle sammen, men vi sørger selvfølgelig for alle vores biler er vedligeholdte og i sikker stand.  Vi tilbyder gratis lånebiler og derfor er nogle af vores lånebiler ikke helt nye mere.  Mvh. Sebastian :-) ;0;0
21;Nicklas;2;Ringede og fik et tilbud - nu jeg på marketing liste. Ringede og fik et tilbud, de ville have alle oplysninger på mig for at give det, og nu skriver og ringer de flere gange omkring om jeg vil have det - plus jeg er tilmeldt sms tjeneste. Trods jeg takkede nej og sagde de ikke skulle kontakte mig igen selvom de krævede oplysningerne for at give et tilbud - virkelig irriterende.;Hej Nicklas Jeg har været inde i vores systemer, og jeg kan se du er blevet slette, så du vil kun modtage noget fra os hvis du igen på et tidspunkt ønsker et tilbud på en reparation eller service på din bil. 😊 Alle tilbud og kundedata som ikke er brugt indenfor 3 måneder, bliver altid slette. Mvh. Niels;0;1
22;MD;2;Fik skiftet olie til rimelig pris, men heldigt at jeg ikke brugte dem til de reparationer de havde diagnosticeret. Værkstedet som jeg normalt bruger kunne ikke finde fejlene, så det kunne blive en dyr omgang. Udover det lover de lånebil som bliver aflyst på dagen efter aftale om at jeg får det lavet hurtigt ca 1 lille time… over 11/2 time efter er de færdige.;Hej MD Jeg er glad for at du fik foretaget et olieskifte hos os, til en pris som du syntes var rimelig. Hvis vi har lovet en lånebil, så skal vi selvfølgelig overholde dette. Der kan have været nogle logistiske udfordringer, som har gjort at vi desværre ikke havde en lånebil tilgængelig alligevel, hvilket er utrolig beklageligt, det skal selvfølgelig ikke ske! I forhold til de fejl som er blevet påvist ved os, så gennemgår mekanikerne bilen og de ting som bliver fundet, bliver dobbelttjekket af en værkfører, netop for at sikre vi altid har 2 sæt øjne på og at de ting vi finder er korrekte. Men jeg vender naturligvis sagen med værkstedet, du må meget gerne uddybe hvilke ting dit almindelige værksted, ikke kunne finde. Vi ser frem til at høre fra dig. De bedste hilsener Jacob, [virksomhed];0;1
23;ahed;2;jeg synes det var ikke var ikke hele point service some jeg har lavet før i tidlige  væeksted fx . det cheker ikke gearolie skal skifter ille nej det har lagt ikke ole til   alle døre i bil det vask ikke desel filiter som det skal det var ikke servise som jeg drøme .;Hej Ahed Det service du har valgt er vores kampagne på lille service til 649,- Dette omfatter blandt andet udskiftning af olie og oliefilter, samt en række tjekpunkter i henhold til et serviceskema. Hvis vores kommunikationen omkring dette ikke har været tydelig nok og vi har givet indtryk af at det indeholdt andet end dette, så beklager jeg meget! Vi vil naturligvis gerne være behjælpelig med et service, som inkluderer de ting du beskriver i din kommentar. Hvis du ønsker dette, er du meget velkommen til at række ud og så finder vi naturligvis en rigtig fornuftig løsning på dette til dig. De bedste hilsener Jacob, [virksomhed];0;1
24;Per;2;Mit besøg... Det var for dyrt.. Timelønnen for høj, og tiden der blev brugt var efter min mening ude af propertion;Hej Per Jeg er ked af hvis du mener at vores timeløn er for høj og at vi har brugt for meget tid på en opgave.  Du skulle gerne have fået et udførligt skriftligt tilbud på det som skulle laves, som du har haft mulighed for at gennemgå, inden du accepterede prisen. Vi gør altid dette, netop fordi vi ønsker fuld gennemsigtighed for dig som kunde. Hvis det ikke er tilfældet, vil jeg naturligvis rigtig gerne høre tilbage fra dig. De bedste hilsener Jacob;0;1
25;Lisbeth;2;Kvaliteten af reparationen (stenslag på forrude) var meget utilfredsstillende;Hejsa Lisbeth Tak for din flotte anmeldelse, jeg sætter pris på din tid og ærlighed. Jeg er ked af at vi ikke er kommet i mål i forhold til rep. af stenslaget. Det er ikke altid, at det kan lade sig gøre at få et pænt resultat, når det drejer sig om stenslag. Håber at vi ses en anden gang. God dag herfra Mvh. [virksomhed];1;1
26;Mogens;2;Aftalte som de reklamerer med fotomateriale, de foralte at de havde Danmarks dygtigste pladesmed. men derefter blev bilen sendt til en anden afdeling. som forvenet manglede foomateriale,;Hejsa Mogens Tak for din flotte anmeldelse, jeg sætter pris på din tid og ærlighed. Jeg er ked af at du har forventet at vi ikke tager billeder af din  bil, det er ikke helt fair, vi tager altid billeder af din bil med det arbejde der er udføres. Når det drejer som om plade/skade arbejde som køre over forsikringen er det ikke dig som er kunde hos os men forsikringen, det vil sige at det udførte arbejde får du ikke en faktura på det får forsikringen, det samme gælder billede dokumentationen som køre i forsikringsselskabernes skade program som hedder Forsi. Håber at det giver mening. Vi sender skader rundt i vores afdelinger for at være så effektive som muligt og for at nedbringe ventetiden for dig. Der er ingen tvivl om at vi har nogle vildt dygtige smed i vores afdelinger. Håber at du vil se på din anmeldelse. God dag herfra M.v.h. Michael - Eftermarkedschef;0;1
27;JENS;2;For dyr i forhold til reklamer ...... tyske priser ????;Hejsa Jens Tak for din flotte anmeldelse, jeg sætter pris på din tid og ærlighed. Jeg vil beklage hvis vi har fejlet tilbage i 2017 hvor du sidst har fået lavet noget hos os. Vi står naturligvis 100% på mål for vores markedsføring og holder hvad vi lover. God dag herfra M.v.h. Michael - Eftermarkedschef;0;0
28;Gøran;2;"Fik skiftet tandrem hos Skorstensgård. Desværre passede den første tandrem ikke til min bil, hvilket værkstedet hurtigt opdagede. Dette kostede en forsinkelse på yderligere 2 dage. Ved skift af tandrem 2.gang (jeg kører meget) på et andet værksted, opdagede mekanikeren, at pakningen ikke var skiftet første gang, men erstattet af en form for paksalve eller lignende, som var ""brændt"" fast og vanskeligt at fjerne. Skorstensgårds løsning har da fungeret, men det er ikke den korrekte måde at udskifte tandremmen på";Hejsa Gøran Tak for din flotte anmeldelse, jeg sætter pris på din tid og ærlighed. Jeg vil beklage hvis vi har fejlet tilbage i 2016 hvor du sidst har fået lavet noget hos os. God dag herfra M.v.h. Michael - Eftermarkedschef;0;1
29;kunde;2;Fik oplyst at min bil skulle have skiftet alle bærearme og bremser - Fik tilbud på mere end 12.000 kroner. Valgte ikke at acceptere og fik synet bilen med besked om at den var fantastisk og helt som ny.;Hejsa Kunde Tak for din flotte anmeldelse, jeg sætter pris på din tid og ærlighed. Jeg vil beklage hvis vi har fejlet tilbage i 2016 hvor du sidst har fået lavet noget hos os. God dag herfra M.v.h. Michael - Eftermarkedschef;0;1
30;Samuel;2;Punktet dæk. Har ikke nulstille service lampe efter de har skiftede punktering dækket, det er godt nok irriterende.;Hejsa Samuel. Tak for din anmeldelse, vi sætter pris på din tid og ærlighed. Vi vil beklage, hvis vi ikke har fået nulstillet din dæktrykslampe. Vi ser desværre, at det nogle gange ikke er nok at nulstille det på værkstedet og at bilen først skal ud og køre før den acceptere en nulstilling. Håber på din forståelse og at vi ses en anden gang. God dag herfra. Mvh [virksomhed];1;0
31;Straiter;2;Find fem fejl.. Jeg fik en gul lampe med beskeden engine malfunktion og ringede med det samme til Skorstensgaard.  De fortalte at det nok var partikkelfilteret og at det måske ville gå i sig selv igen, men efter flere et par længere køreture, tænkte jeg at det var bedre at få ordnet, da den ikke havde klaret det selv. De hjalp den igang igen for små 1000kr Næste gang jeg var ude på en længere tur, kom lampen så igen. De tilbød at hjælpe den igang igen og skifte en sensor, som sagde at det var for koldt til at genstarte. Jeg tænkte at hvis den skal hjælpes igang ellers, bliver de penge hurtigt brugt og sagde ja tak til at få skiftet sensoren. Det blev så over 2100kr - øv. Første gang jeg kørte en længere tur efter sensoren blev skiftet, sagde den så samme fejl for tredje gang. Jeg forsøgte mig med et additiv som skulle hjælpe med at rense partikkelfilteret, men endte igen med at køre den forbi Skorstensgaard, da beskeden ikke forsvandt efter en længere køretur. Jeg fik at vide at det var termostaten som var defekt, og den varmede ikke op til det den burde og det var derfor at den ikke ville genstarte. Det ville blive 2400kr for udskiftning af termostat.  Det gjorde mere end ondt i mit sparsomme budget, men der var jo ikke noget at gøre, selvom jeg synes det var lidt mærkeligt at alle disse fejl skulle være kommet lige på samme tid. Jeg har nu fået en besked fra Skorstensgaard at de har udskiftet termostatet til 2400kr  Men da de er ude og testkøre den lyste den så igen. Nu tænker de at det nok er en dysse et sted som skal skiftes og det vil så blive over 6200kr i alt. Jeg tager hen og henter min bil når den er klar til det og er lidt trist over at jeg har brugt størstedelen af min månedsløn denne måned og at jeg alligevel får en bil som kommer til at give samme fejlmelding.;Hejsa Straiter Tak for din flotte anmeldelse, jeg sætter pris på din tid og ærlighed. Jeg er naturligvis ked af at vi ikke er kommet i mål med din bil. Jeg har gået sagen igennem og som jeg ser det er vi ude i flere fejl på din motor/udstødningssystem som er kædet sammen med hinanden, det eneste som stikker lidt ud er termostaten som er skiftet. Jeg kan kun beklage at du har måtte bruge penge på det arbejde der er lavet på bilen, vi er blot nødt til at starte der hvor problemet er, også selvom at det måtte føre videre til andre fejl. Jeg vender din oplevelse med afdelingen. God jul og godt nytår herfra M.v.h. Michael - Eftermarkedschef;0;1
32;Maria;2;Dårlig service. Havde min bil på værkstedet pga en skræmme fra en indkøbsvogn (Forsikringssag) Blev opkrævet kr 225 for forsikring af lejebilen, selv om jeg i følge mit forsikringsselskab har ret til en GRATIS lånebil. Fik af vide, at jeg selv havde skrevet under på vilkårene/kontrakten på lejebilen, men det havde jeg ikke. Den var underskrevet at medarbejderen fra Skorstensgaard som udleverede bilen til mig!;Hejsa Maria Tak for din flotte anmeldelse, jeg sætter pris på din tid og ærlighed. Jeg kan kun beklage den oplevelse som du beskriver, det er på ingen måde det jeg ønsker at du skal opleve. Du skal naturligvis have den fulde information omkring lånebilen, jeg kan se at det der er betalt for er den selvrisiko som man kan fraskrive sig. Jeg vender din oplevelse med afdelingen. God jul og godt nytår herfra M.v.h. Michael - Eftermarkedschef;0;1
33;Erik;2;Påfyldning af Eolys. Jeg fik påfyldt Eolys / additiv, da kørecomputeren meldte at den manglede dette. Kørecomputeren blev imidlertid ikke fortalt, at væsken er påfyldt, hvorfor bilen stadig melder fejl, hver gang denne tændes. Det synes jeg faktisk bør høre med til denne opgave. Næste gang går vi nok til et mærkeværksted selvom prisen var meget bedre hos Skorstensgaard. Min kone oplevede i øvrigt en nedladende og grinende mekaniker, da hun afslog tilbuddet om udskiftning af partikelfilter.;Hej Erik. Tak for din anmeldelse, Vi sætter pris på din tid og ærlighed. Vi er kede af at læse om din oplevelse hos os. Det er naturligvis ikke det, vi ønsker, at du skal opleve. Hvis du tager fat i afdelingen, står de klar til at hjælpe dig, hvis ikke problemet er udbedret. God dag herfra. Mvh [virksomhed];1;1
34;Niklas;2;Dårlig service - ingen tlf. Kontakt. Afleverede bilen til service og bremse skift kl. 07.30. Bilen skulle gerne være færdig kl. 11. Da kl. Bliver 12 ringer jeg for at høre status. Den ville være færdig kort tid efter og de ville ringe eller skrive. Kl. 13.30 ringer jeg igen. Tlf. Bliver ikke taget, men går på svare med de ville ringe tilbage igen. Dette sker ikke. Ringer en gang  til med samme situation. Vælger at køre kl. 15.45 da de lukker kl. 16.30 Den har været klar i flere timer. Da jeg synes det dårlig stil de ikke har ringet og brugt hele dagen på at vente, får jeg svaret, du kunne da bare være kørt her op?  Det er alligevel en køretur på 25 min? De 2 stjerne er for arbejdet.;Hejsa Niklas Tak for din flotte anmeldelse, jeg sætter pris på din tid og ærlighed. Jeg vil på alle måder beklage at vi ikke er vendt tilbage eller hvis vi ikke har overholdt den aftale omkring hvornår bilen skulle være færdig. Jeg kan se på din ordre at der står at bilen ville være hos fra kl. 0730-1630 så jeg tror desværre at der har været tale om en misforståelse, derudover skulle der skiftes bremseskiver og bremseklodser som først skulle bestilles fra leverandøren.  Håber at vi ses en anden gang. God jul herfra M.v.h. Michael - Eftermarkedschef;0;1
35;Philip;2;Forkert del skiftet.. De skiftede en forkert del, overså den der var flækket. Ringede ikke tilbage før vi rettede henvendelse til afdelingen.  Delen blev derefter skiftet. God service, men at mekaniker overser en flækket skærm er ikke ok. Servicen og erkendelse af fejl fra Theis er det der giver 2 stjerner.;Hej Philip. Tak for din anmeldelse. Vi sætter pris på din tid og ærlighed. Vi er glade for at du har haft en god oplevelse med dygtige Theis, og vi må naturligvis være dee første til at beklage, at der er sket fejl fra vores side. Vi er dog glade for at vi fik afsluttet sagen godt. Håber at vi ses en anden gang. God dag herfra. Mvh [virksomhed];1;1
36;Andreas;2;Fik nye vinduesvisker på som ikke tager hele ruden de siger det er pga vejfilm selvom vinduet er vasket grundigt, nu siger de bare and vinduet skal polerer for at få det væk. Mærkeligt nok det ikke var et problem før de skiftet vinduesviskerne. Små ting gjort til større problemer. Hvorfor?;Hejsa Andreas. Mange tak for din anmeldelse. Vi er selvfølgelig kede af, at vi ikke er kommet i mål med opgaven. Hvis du kontakter [kontaktperson] på tlf. XXXXXXXX eller [email], så skal vi nok finde en god løsning til dig. God dag herfra. Mvh [virksomhed];1;1
37;Bente;2;Skift til vinterdæk. Det tog lidt over en halv time at skifte 4 dæk!!!👎;Hejsa Bente. Tak for din anmeldelse. Vi sætter pris på din tid og ærlighed. Vi vil naturligvis beklage, hvis du har oplevet lang ventetid på dit dækskifte. 30 minutter er dog helt normalt for denne opgave, så vi håber også lidt på din forståelse. God dag herfra. Mvh [virksomhed];1;0
38;Jan;2;Havde fået tilbud fra en afdeling, men ved ankomst blev jeg mødt med et tilbud til en merpris af kr. 1300, på trods af, at det var tilkendegivet ved sidste service at luft- og pollenfiltre var skiftet. Fik herefter muligheden for at få samme tilbud, som fra anden afdeling, hvilket jeg indvilligede i. Service ikke opført i servicebog.;Hej Jan. Mange tak for din anmeldelse. Vi er kede af den oplevelse, du har haft i vores afdeling og vil beklage de fejl, der er sket fra vores side. Vi vender oplevelsen internt med afdelingen. God dag herfra. Mvh [virksomhed];1;1
